ticker_b3,M0_RW,M1_GARCH,M2_GARCHX
AALR3,4.025533348487691,1.469102706016929,1.1600584975934884
ABCB4,0.9555260516311579,0.31459091799846667,0.3405724888412197
ABEV3,1.3205374634208389,0.6613526339648143,0.6700791906310839
AERI3,3.947565368511701,2.4514501392891823,2.8907538856097146
AFLT3,37.32549612268286,1.493591006465293,1.4736241009741913
AGRO3,1.5386944060972045,0.6974762793503823,0.5857448520480141
AHEB3,10.977915809546618,1648.9653762474406,4785.514800954843
ALOS3,0.9185549871963076,0.4908303008435126,0.46078323404980837
ALPA3,1.1743202404258912,0.7721612192060883,0.8569463110323599
ALPA4,3.168910229646967,1.1137372599248798,1.1263778889389542
ALUP11,0.7187647155751692,0.5309236850867094,0.5952369803779659
AMAR3,2.835973426259709,1.0841438208214746,1.4333193888941609
AMBP3,2.102858506252127,2.584137548720457,1.567670800515954
AMER3,3.927149352920599,1.7869696853264974,2.8998215386572936
ANIM3,1.8830946332374956,0.4486284940319521,0.45336386787092375
AXIA3,1.7204293266452109,1.00654131435374,1.2385638162752888
AXIA6,5.499719539598763,0.6444333853834443,1.3893451699311081
AZEV3,2.0780166106395312,0.9279576800932595,1.2915460500277376
AZEV4,1.2620814380984136,0.9007642027080631,0.9318480886331272
AZZA3,1.5586232207281423,0.5988415070136166,0.604176578807109
B3SA3,2.218755519284372,0.5619759924271073,0.7911292338608494
BALM4,33.951226879725944,1.4248711601215411,1.4227180726693724
BAZA3,3.1283269741375994,0.7944031615976009,0.9008634190652665
BBAS3,1.181964604983627,0.6508724801344964,1.0390774611455544
BBDC3,1.665069077321856,0.8055392750635144,0.6432225015539174
BBDC4,1.6450285388901413,0.6174963553344984,0.6404557593635845
BBSE3,0.9783846728588173,0.47935260658258044,0.4919549475065427
BDLL4,80.7753251091677,1.9949537434860338,2.0725558684058076
BEEF3,1.3409891994197645,0.6429670262325134,0.6650409948935089
BEES3,5.01643013856857,0.8083545330458143,1.066209388320389
BEES4,1.9006657859273708,0.7963329751165447,0.8956184016333243
BGIP3,59.573120557006234,3.2606712095974144,6.438641024980047
BGIP4,1.703945420301549,0.508650090566782,0.5396416518914712
BHIA3,1.4283771937353649,0.8184420250979184,0.9389270909768427
BIOM3,5.895866268987787,0.7834724528709802,0.9865641253906178
BMEB4,1.0602564409069408,1.437018611073617,2.131568397162303
BMGB4,2.4496111399670473,0.8397484328246212,1.1736137295573947
BMIN4,94.44436382009539,5.687827822653783,4.737906838495009
BMKS3,2257.95847251683,1.4394875188322562,1.4639112922816457
BOBR4,3.3402667223567826,1.058527705815387,1.4004917658195521
BPAC11,1.1915200902567984,0.47142715471612384,0.5333973434490648
BPAC3,0.8124258516015193,0.6088681406565316,0.6572559461623042
BPAC5,1.4427814825145477,0.5836764197385159,0.5802727823466263
BRAP3,4.555407000300206,0.6533109844203778,0.6393596532993738
BRAV3,1.7221859882422828,0.6043763638260977,3.608588225898707
BRKM3,1.676863571759363,0.7522767824105235,1.3412062751793135
BRKM5,1.4298939871285254,0.7872204106321963,0.8203986969705478
BRKM6,371.05574580004406,2.3602064950092703,2.9231124497933276
BRSR5,608.4228822799832,2.6662888491246655,2.8430047456466028
BRSR6,2.985068031135414,0.517149740819268,0.5980634927770802
