ticker_b3,svi_adf_stat,svi_adf_pvalor,svi_estacionario,svi_diff_adf_stat,svi_diff_adf_pvalor,svi_diff_estacionario,svi_log_dev_adf_stat,svi_log_dev_adf_pvalor,svi_log_dev_estacionario,svi_exp_dev_adf_stat,svi_exp_dev_adf_pvalor,svi_exp_dev_estacionario
MGLU3,-1.8754,0.3437,False,-11.4403,0.0,True,-9.8656,0.0,True,-9.8453,0.0,True
MILS3,-2.7842,0.0606,False,-10.6915,0.0,True,-13.0797,0.0,True,-8.1006,0.0,True
MNDL3,-6.5596,0.0,True,-8.0174,0.0,True,-5.6365,0.0,True,-5.6334,0.0,True
MNPR3,-3.095,0.0269,True,-6.8507,0.0,True,-3.7927,0.003,True,-4.569,0.0001,True
MOVI3,-3.683,0.0044,True,-8.3993,0.0,True,-6.9197,0.0,True,-13.854,0.0,True
MRSA3B,-16.3401,0.0,True,-8.5907,0.0,True,-16.0935,0.0,True,-16.0935,0.0,True
MRVE3,-4.6153,0.0001,True,-7.7178,0.0,True,-5.721,0.0,True,-7.9677,0.0,True
MTRE3,-1.5492,0.5091,False,-10.0867,0.0,True,-7.709,0.0,True,-12.966,0.0,True
MTSA4,-16.6243,0.0,True,-8.9172,0.0,True,-10.5506,0.0,True,-16.3823,0.0,True
MULT3,-1.9741,0.298,False,-7.3897,0.0,True,-6.9601,0.0,True,-8.0825,0.0,True
MWET4,-4.7848,0.0001,True,-6.0659,0.0,True,-3.8709,0.0023,True,-13.7846,0.0,True
MYPK3,-3.1293,0.0245,True,-10.4234,0.0,True,-10.8354,0.0,True,-10.5527,0.0,True
NEOE3,-3.0704,0.0288,True,-13.4996,0.0,True,-13.7262,0.0,True,-14.6003,0.0,True
NEXP3,-2.3684,0.1509,False,-6.8966,0.0,True,-5.1688,0.0,True,-7.8421,0.0,True
NGRD3,-7.2996,0.0,True,-9.9701,0.0,True,-4.9481,0.0,True,-2.9316,0.0418,True
NUTR3,-10.7791,0.0,True,-6.9991,0.0,True,-12.3409,0.0,True,-10.6192,0.0,True
ODPV3,0.0309,0.961,False,-3.2517,0.0172,True,-7.0519,0.0,True,-9.2841,0.0,True
OFSA3,-4.5441,0.0002,True,-7.6239,0.0,True,-14.4524,0.0,True,-9.7033,0.0,True
OIBR3,-1.9503,0.3088,False,-10.4561,0.0,True,-7.5672,0.0,True,-7.6587,0.0,True
OIBR4,-2.8598,0.0502,False,-9.4786,0.0,True,-10.6581,0.0,True,-11.1161,0.0,True
OSXB3,-3.3613,0.0124,True,-12.0405,0.0,True,-11.9435,0.0,True,-13.9353,0.0,True
PATI3,-12.7497,0.0,True,-8.7169,0.0,True,-12.2409,0.0,True,-12.5637,0.0,True
PATI4,-16.3401,0.0,True,-28.1425,0.0,True,-16.0935,0.0,True,-16.0935,0.0,True
PCAR3,-4.8884,0.0,True,-6.785,0.0,True,-6.2608,0.0,True,-11.2098,0.0,True
PDGR3,-5.4143,0.0,True,-9.3399,0.0,True,-7.5378,0.0,True,-8.425,0.0,True
