ticker_b3,n_previsoes,gamma_medio,gamma_pval_medio,pct_signif_5pct,persistencia_m1,persistencia_m2,delta_egarch_medio,delta_egarch_pval_medio,pct_signif_egarch_5pct,delta_garch_medio,delta_garch_pval_medio,pct_signif_garch_5pct,leverage_m1_medio,leverage_m2_medio,persistencia_m3,persistencia_m4
AALR3,103,0.023034291918262804,0.13591351175698196,61.165048543689316,0.3163045055462287,0.34778967354235885,0.023034291918262804,0.13591351175698196,61.165048543689316,0.1334156700037685,0.917671984143572,1.9417475728155338,0.6627121590692279,0.5946999249543096,0.9813776822907878,1.06251679514633
ABCB4,103,-0.09359240278748826,0.33503012960866263,22.330097087378643,0.8684959624107148,0.3203793223142774,-0.09359240278748826,0.33503012960866263,22.330097087378643,9.921832603921848e-9,0.9999986686319142,0,-0.033717513496473193,0.00411129333888212,0.9908680836559238,0.9908759896273761
ABEV3,103,-0.04302989023527482,0.3301586793372041,30.097087378640776,0.4698802843737125,0.3964955126602943,-0.04302989023527482,0.3301586793372041,30.097087378640776,7.3774912157174035e-9,0.9999999830327343,0,-0.09104980161252213,0.03217357751533292,0.9394402633931356,0.9435128806309757
AERI3,103,-0.3410683748688059,0.1420366207274108,53.398058252427184,0.8221303957004538,0.8467416461349978,-0.3410683748688059,0.1420366207274108,53.398058252427184,6.566191766826908e-9,0.9999999995321096,0,0.23504862171829383,0.2771790122646116,0.9549418655183513,0.9556886372940937
AFLT3,103,0.014538185718330748,0.3012250486061329,0,0.48677445673668857,0.523629398701961,0.014538185718330748,0.3012250486061329,0,8.813173337323805e-9,0.9999995133698351,0,-0.008392355414830752,0.006481408034002394,0.9759090541839052,0.9872316319543909
AGRO3,103,0.08110240058422766,0.47435069629857407,17.475728155339805,0.9870691273740144,0.7749618859901642,0.08110240058422766,0.47435069629857407,17.475728155339805,0.007805712332148085,0.9876319754484316,0,0.08716636934412185,0.08267228233164095,0.9932414541665167,0.9929725514134403
AHEB3,103,-0.1867623212630777,0.006292308619406145,97.05882352941177,0.06496181247661956,-0.428461636707236,-0.1867623212630777,0.006292308619406145,97.05882352941177,1.081974143724183e-8,0.9999988891341415,0,0.5424836448662923,0.9602679562456864,0.7398234463500967,0.9683142871287446
ALOS3,103,-0.19064828351033555,0.09932368219810932,53.398058252427184,0.6310552656219752,0.182723496752871,-0.19064828351033555,0.09932368219810932,53.398058252427184,3.780496449445574e-9,0.9999999522827856,0,0.12913901090428012,0.21079504861889212,0.9883742354904341,0.9888368152198229
ALPA3,103,0.01161121500007889,0.3105229141643112,49.51456310679612,0.02790782764391,-0.20113823157520833,0.01161121500007889,0.3105229141643112,49.51456310679612,9.43377413802335e-9,0.9999972426631341,0,0.12915575206664281,0.16660884949452828,0.9892307619552964,0.9862328690793204
ALPA4,103,0.07418225449134068,0.15287174789872213,73.7864077669903,0.2709358729812097,0.31580069851545883,0.07418225449134068,0.15287174789872213,73.7864077669903,1.2036923516928219e-8,0.9999999285047009,0,-0.022371166993865207,-0.023516008455316362,0.9857370215466428,0.9857686034670193
ALPK3,103,-0.01137858469487884,0.22712462286676266,41.74757281553398,0.22722823260855318,0.40314458493999766,-0.01137858469487884,0.22712462286676266,41.74757281553398,5.44820561750812e-9,0.9999964950857008,0,0.647482886443098,0.7683278429257515,0.9578721759284782,0.9814255814972682
ALUP11,103,0.07440271054476054,0.2873369340966061,45.63106796116505,0.7862481999122867,0.6198826413269577,0.07440271054476054,0.2873369340966061,45.63106796116505,0.006809510131950873,0.9925927110064338,0,-0.11867245278500517,-0.1277457604991548,0.9912835379104017,0.9906448709908114
ALUP3,103,-2.145588010081939,0.11316213928373584,63.10679611650486,0.32656842458245766,0.31964898130942054,-2.145588010081939,0.11316213928373584,63.10679611650486,1.4917206005707508e-4,0.9924686257450633,0,0.5020129880553366,0.5037402235613065,0.5755038834621358,0.5810180774827814
