ticker_b3,modelo,n_obs,media_z,sd_z,assimetria,curtose,lb_z_stat,lb_z_pvalor,lb_z2_stat,lb_z2_pvalor,jb_stat,jb_pvalor
AALR3,m1,156,-0.00764517988177171,0.9931200991721529,-1.3867204575305567,8.582637656532391,9.433634054373213,0.49150281158195497,3.2222968688388263,0.9756979474942467,252.57581513754505,0
AALR3,m2,156,-0.007796779337595037,0.993672805834081,-1.180911825880417,7.498118195249571,9.710260162664945,0.466270323305257,4.500540666144231,0.9219554626518404,167.7733086929388,0
ABCB4,m1,156,-0.0010783752885250167,1.003662343295304,0.5866958479358617,3.470273221156287,5.626280146603186,0.845623897151117,3.4958602765182287,0.9672387549560328,10.387032334103285,0.005552449112370517
ABCB4,m2,156,-0.016822017889495167,1.0065442136907479,0.4571430069684708,2.8554704308672965,5.831915861659488,0.8291816444587913,4.294371706086322,0.9330918065520276,5.569250125623509,0.061752237901448015
ABEV3,m1,156,0.0128978084615726,1.0027112303866708,0.5146096234256209,4.520780132607333,9.179107006308529,0.5151943370230644,7.5858136438782715,0.6692219612944486,21.918419053844403,1.7397056600865213e-5
ABEV3,m2,156,0.022831694665497216,1.0053436779210025,0.2509325713889702,3.753621518558433,10.957453946386767,0.36084234098578216,9.925916114969063,0.44701683280251325,5.328791096003966,0.06964143571862214
AERI3,m1,156,0.009101242410292285,0.9886789626009761,0.7117660101787527,8.85985441896977,6.179465748290872,0.7999666022670832,2.6839912472988816,0.9879147775304395,236.36819195926745,0
AERI3,m2,156,-0.012723742778591923,0.996687542833009,0.7397153159394164,7.110781806187646,5.659867527556506,0.8429845393827622,3.5046206136544673,0.9669412572097414,124.06707334206104,0
AFLT3,m1,156,-0.026353947905875995,1.0031584913209965,0.2368375086719662,5.1715460590968725,13.60899120134979,0.19158520977478466,5.219662877728045,0.8760294352038945,32.10987200742711,1.0651968818109481e-7
AFLT3,m2,156,-0.024310197661750632,1.0033123629094296,0.20640657681396202,5.370638671739494,15.547225517694434,0.11334798977238114,5.912013462462728,0.8226004997628289,37.63722567640765,6.717076339590733e-9
AGRO3,m1,156,-0.024993093069372647,1.0116576670774051,0.3744651096850348,3.2058748240300554,12.979727368524372,0.22480749247339837,12.895563300253468,0.22956976320765055,3.921325958258195,0.14076506567752523
AGRO3,m2,156,0.03398522368806563,0.9748208828184398,0.13176136597070193,3.1198473421205777,14.930838608886846,0.13460377517551936,14.085169743112608,0.16914208239237183,0.5447495018109806,0.7615688090056967
AHEB3,m1,156,-0.0021049902201459333,1.000519963714455,-1.0722967005513875,11.133212209386702,15.00943505641319,0.13171824958748857,4.027780309575423,0.9460850604069866,459.8647410433082,0
AHEB3,m2,156,0.01889129946124351,0.9970175803156781,-1.0101806406058196,10.785521376076963,18.929798635054944,0.041163459573979266,3.7097497479650583,0.95949226015497,420.52531822580795,0
ALOS3,m1,156,0.039297808950122914,0.9988354622160815,-0.08425789879506836,2.517687866483004,14.531234345395095,0.15010962978867126,8.900314232002874,0.5415895995103968,1.6966466931385171,0.4281321597639465
ALOS3,m2,156,-0.002686805518312399,1.0033945350024311,-0.052717556035627625,2.8653920245804128,16.163528747900862,0.09504591552861152,4.245003340454947,0.9356183092895276,0.19003315437624935,0.9093578597469698
ALPA3,m1,156,-0.0010045271481637303,1.0282513093295864,0.4601871332528797,3.7162868271630614,4.464860777092695,0.9239498711762227,6.79708776994667,0.7444521944927434,8.84101145988671,0.01202814775180705
ALPA3,m2,156,0.0015875101094134229,1.0169754548842085,0.4305568457961354,3.7186176537094493,5.498624722075703,0.8554832436978123,6.083666432550814,0.8081856285490107,8.176532793458525,0.01676827791705071
ALPA4,m1,156,0.021083207450375327,1.0122267806012324,-0.11786938906189523,4.255620117611811,7.53457451859669,0.6741958228773838,5.338118092211064,0.8674778330175119,10.60900523320818,0.004969169196127332
ALPA4,m2,156,0.018929986663745138,1.013512452177787,-0.1920104237269484,4.523558085683977,7.780967182455244,0.6502219708170626,3.50206977151108,0.9670280557370644,16.046558136259513,3.2774356540987704e-4
ALPK3,m1,156,0.07865607881066251,1.2178553912039505,1.295421525116982,8.431069400878942,16.804678487335718,0.07879922866256417,12.427558629966457,0.2574598772502428,235.3583865627095,0
ALPK3,m2,156,-0.0061156903731863525,1.0223143946882598,1.112423095529658,7.6262499044765155,12.381122236931194,0.26035871481218775,5.063075456131243,0.8869248515949582,171.28883689151075,0
ALUP11,m1,156,-5.192042075152618e-4,1.0010294139379634,0.07523914065217278,3.212571606840777,9.625416346863249,0.47394795841291304,8.70163705208638,0.5606339890515964,0.44089760766466957,0.8021587052619685
ALUP11,m2,156,-3.550149160996961e-4,1.002704243726746,0.11643126542452623,3.123063674191517,10.064847542214212,0.43482253653004455,7.534578290758749,0.6741954569861459,0.45090257016312063,0.7981559416024345
ALUP3,m1,156,0.005516680650087484,1.0083971163133525,0.07896406504496502,3.4208235065144867,10.762992018591657,0.3762788658285052,15.931605463433307,0.1016070824248907,1.3132191664075261,0.5186066498812724
ALUP3,m2,156,0.0037034222244278743,1.0081186704224576,0.15853662233702862,3.3091246401032834,8.338539568871928,0.5958058614313255,18.27604793940038,0.050481843932083215,1.274607656446274,0.5287160132530524
ALUP4,m1,156,-0.005100815785097627,0.9990726941452229,0.027791910575766316,2.8190922965183125,7.085166454243934,0.7173810037445332,10.909856164715928,0.3645840783688019,0.23281152929335527,0.8901139732293257
