ticker_b3,n_previsoes,gamma_medio,gamma_pval_medio,pct_signif_5pct_m2,delta_medio,delta_pval_medio,pct_signif_5pct_m3,persistencia_m1,persistencia_m2,persistencia_m3
AALR3,103,0.2577337065023492,0.9417475623736864,5.825242718446602,0.28665191676860075,0.9228580680896311,5.825242718446602,0.9813652834074152,1.0528580562885879,1.0494475873530755
ABCB4,103,1.0406028221794447e-8,0.9999999397188913,0,9.704577938838637e-9,0.999999221176714,0,0.9908680913486908,0.990875957775729,0.9908759385001632
ABEV3,103,1.8343039830637655e-8,0.9999999908841429,0,7.536211851957109e-9,0.9999999549397472,0,0.9424744922762757,0.9429754370354457,0.9457299716665539
AERI3,103,6.597921830406176e-9,0.999999999583144,0,6.373473220440854e-9,0.9999999981906901,0,0.9549413157638934,0.9556871979062639,0.9556867860856894
AFLT3,103,9.939617913699778e-9,0.9999999633400305,0,1.364754961408439e-8,0.9999998175203391,0,0.9755847151828689,0.9870794737278007,0.9871529125485982
AGRO3,103,0.051591857142726384,0.9715023181317851,1.9417475728155338,0.00894546795354854,0.9624291623247818,2.912621359223301,0.9932414556692593,0.9934665239898262,0.9941974176352099
AHEB3,103,1.003503678367824e-8,0.9999999860127841,0,9.884629760163892e-9,0.9999999597309142,0,0.7491142377496541,0.968730266054192,0.9683891083217333
ALOS3,103,8.032124175061663e-9,0.9999999859947516,0,7.272765320234812e-9,0.9999999592546308,0,0.9883746556480008,0.9888365527512463,0.9888367779548033
ALPA3,103,9.868320702722904e-9,0.9999999094089533,0,1.0033270298893343e-8,0.9999999819847887,0,0.9892309833806205,0.9862332320654486,0.9862331473178905
ALPA4,103,1.039216069948998e-8,0.9999999963424893,0,9.383514034479345e-9,0.9999999956278698,0,0.9857369889187992,0.9857704228884033,0.9857240208659924
ALPK3,103,4.715949769098043e-9,0.9999997416442653,0,0.032869744129416234,0.9772460816582502,0,0.9578761914772166,0.9856066482065119,0.9859562119219569
ALUP11,103,0.007149583991637987,0.9930000143360288,0,0.002845544778199796,0.954518374317373,1.9417475728155338,0.9912843285475358,0.9907095694734731,0.9912996331560848
ALUP3,103,0.004975315687006049,0.9723948995618521,1.9417475728155338,0.0059859978121242574,0.8443232924781605,2.912621359223301,0.5755031872703078,0.586597058208956,0.5700497304354667
ALUP4,103,0.0048642907873695405,0.9873099371205718,0,0.010637504626369533,0.8756466919678249,11.650485436893204,0.9904588707919624,0.9843600820208392,0.9331852248778699
AMAR3,103,0.251754242502093,0.9910090459687056,0,9.697451790468475e-9,0.999999992041124,0,0.9884923359364401,0.9900434539609793,0.9901992624336206
AMBP3,103,8.761780017770581e-9,0.99999999260363015,0,0.009949316697590605,0.996436237517846,0,0.9566173750980744,0.9898426050852592,0.9898457326623866
AMER3,103,19.083032006391708,0.7879573314755982,14.563106796116504,13.048034542825905,0.7707837703127544,21.35922330097087,0.9989999905411365,1.3037402864231877,1.2664576684631985
ANIM3,103,5.204445816626619e-9,0.9999999967893116,0,0.06199047863048138,0.9261804929858952,0,0.658740337326625,0.6663873786458493,0.6652605542930429
AXIA3,103,1.0252083867606593e-8,0.9999999685439896,0,1.0978226015849331e-8,0.9999998124189734,0,0.9604678900591944,0.9600415980597481,0.9600462631739902
AXIA6,103,8.753888056784674e-9,0.999999959603552,0,8.540814299805582e-9,0.9999999456749407,0,0.9853271510871694,0.9853398445954719,0.985340237852316
AZEV3,103,13.147590280671889,0.5856629768294737,13.592233009708737,0.5630784321358243,0.8842760612564831,10.679611650485436,0.8360707383926527,0.8728559589061712,0.8453550101852597
AZEV4,103,9.382507546324351,0.6215721594162544,0.9708737864077669,4.437082094956929,0.10959907919721883,63.10679611650486,0.8993761492001395,0.8389702623430365,0.925214419301419
AZZA3,103,6.699665580893351e-9,0.9999998497398668,0,0.15929898686277835,0.7723294234504906,4.761904761904762,0.9557632104190815,0.9593399146685887,0.9291413618968631
B3SA3,103,8.965462887410816e-9,0.9999999988830542,0,7.120456361745144e-9,0.9999999882936366,0,0.9672023996869276,0.967562382904275,0.9675629301819734
BALM4,103,1.0153378205344678e-8,0.9999999821153897,0,9.838641833480949e-9,0.999999980697001,0,0.9968891005987437,0.997152754722407,0.9971527618599325
BAZA3,103,0.09481539725268215,0.8474673303966076,6.796116504854369,0.04913819471778141,0.7091403745910688,29.126213592233007,0.9475345069031511,0.9631865171628168,0.8204353943086202
BBAS3,103,9.296840410549374e-9,0.9999999975987851,0,1.0434062470267594e-8,0.9999999665794879,0,0.9757262314377603,0.9757269361657994,0.975726940566157
BBDC3,103,8.780649191363085e-9,0.9999998485163631,0,7.320323091261076e-9,0.999999155483046,0,0.9801911251749547,0.9795950442904212,0.9791266927782302
BBDC4,103,9.395202714900525e-9,0.9999998889736244,0,8.626100323499873e-9,0.999998842707299,0,0.9891258546384981,0.9843300946224222,0.9843358796794179
BBSE3,103,8.220016962464017e-9,0.9999999903059076,0,6.344926702014986e-9,0.9999999505853159,0,0.9830011929991157,0.9828452604207961,0.9828452041977788
BDLL4,103,9.943047697730075e-9,0.9999999975109358,0,9.942791345026547e-9,0.9999999944302184,0,0.9909425449242841,0.9923308736906626,0.992330944720531
BEEF3,103,9.622575895376714e-9,0.9999999271937774,0,8.646879450880906e-9,0.9999997650012541,0,0.9971670536898148,0.9977263106933498,0.9977267639658297
BEES3,103,0.5258533104140946,0.1564688854208147,35.92233009708738,0.03592740851245138,0.23629619611477853,3.8834951456310676,0.6931608810429578,0.6948222842682239,0.6700809007317591
BEES4,103,0.3309183729630037,0.3238603324164332,0,0.061643932439117734,0.10572561705094857,35.92233009708738,0.8068184346154137,0.8258774759987977,0.847024374587518
BGIP3,103,1.0038692034899348e-8,0.9999999946343002,0,1.275199139606428e-8,0.9999998998434154,0,0.9299392430580976,0.9935978483874435,0.9935291734983746
BGIP4,103,0.11128941560184599,0.9858503707623728,0,0.022534187182988476,0.971518923461988,1.9417475728155338,0.97552556307817,0.9810031199200738,0.9862800310667235
BHIA3,103,9.958731615857948e-9,0.9999999976963792,0,9.957857386098315e-9,0.9999999932108211,0,0.9864658245621675,0.9973847739916765,0.9973984630628991
BIOM3,103,1.0023364511581765e-8,0.9999999976109476,0,9.99188475845119e-9,0.9999999938061414,0,0.9946577495249508,0.9999058964844023,0.9991650551689263
BMEB3,103,1.730599226864311,0.9599580016837597,0,8.904215816265531e-9,0.9999999955508818,0,0.9819285166882561,0.9657349318768752,0.9755426253597861
BMEB4,103,0.2837082326779703,0.8349514790752285,16.50485436893204,0.2578138045902993,0.747638234912442,25.24271844660194,0.9924621435984897,1.0304085826190348,1.0184040159578376
BMGB4,103,1.5936626356716956,0.8554829538333242,14.563106796116504,9.365813310626613e-9,0.9999999708379715,0,0.978388700735528,0.9794943553887773,0.9799552145080583
BMIN4,103,0.1485873965608848,0.9827460856571337,0,0.07168933026363572,0.8982741451927749,4.854368932038835,0.9296115542594947,0.9502963878822027,0.9592678781060557
BMKS3,103,1.4959062074822067,0.6833501785543653,0,0.007259492466764963,0.96254623173782206,0.9708737864077669,0.9083134075494081,0.8905909246984409,0.9062249912097031
BNBR3,103,8.670206788166203e-9,0.9999999823060051,0,0.0040219184440139595,0.9799781186162694,1.9417475728155338,0.9556120308333415,0.9536348373208979,0.9583665956154032
BOBR4,103,0.007072956048888383,0.9904463464050997,0.9708737864077669,9.353216514128858e-9,0.9999999839122736,0,0.9957293106734064,0.9958811246976057,0.9956235882815032
