ticker_b3,semana,rv,rv_pred_m0,rv_pred_m1,omega,alpha,beta,status_m1,rv_pred_m2,alpha_m2,beta_m2,gamma,gamma_pval,status_m2,rv_pred_m3,alpha_m3,beta_m3,delta,delta_pval,status_m3
AALR3,2024-04-05,3.0815836065132e-4,0.00229558521848337,0.007066592290661087,15.114785585818193,0.887523541032979,0.11147643473882554,ok,0.009016950188949008,1.2193653465503523e-9,0.9999995532065088,1.0244699134863552e-8,0.9999999945585729,ok,0.009017004929444183,1.2196499258960463e-9,0.9999995542209831,1.0259560273297165e-8,0.9999999908848143,ok
AALR3,2024-04-12,0.00249515906210959,3.0815836065132e-4,0.008820393906171328,0.1261249957937028,1.7113752674549756e-14,0.9989342757412194,ok,0.008893152470337853,6.53274161353517e-11,0.999999352414491,1.015563353288038e-8,0.9999999956293684,ok,0.008893154725975658,6.524953010723433e-11,0.9999993519443564,1.0163999928444315e-8,0.9999999920952949,ok
AALR3,2024-04-19,0.02546902626795448,0.00249515906210959,0.0026765736064999868,15.086341730165461,0.8882839903168377,0.11071601874356778,ok,0.008802496534123747,3.9599303107913683e-10,0.9999990205522544,1.0168370097683389e-8,0.9999999928847201,ok,0.008802502394058121,3.9604986714388207e-10,0.9999990215168575,1.0180089443798697e-8,0.999999994753709,ok
AALR3,2024-04-26,0.00161633190257853,0.02546902626795448,0.0018128472381438072,14.70390978615229,0.8881718538392398,0.11082814305448034,ok,0.008683349257739554,1.3806468030228935e-9,0.9999990851625643,1.0227686959873991e-8,0.999999991608125,ok,0.008683336489235489,1.380391139198377e-9,0.9999990842741922,1.0244650467161963e-8,0.9999999969717279,ok
AALR3,2024-05-03,8.116757020289897e-5,0.00161633190257853,0.001618267181311392,14.169353259691462,0.8864698622963227,0.11253013700507036,ok,0.008548144043221378,4.002591338374714e-14,0.9996231620369789,1.0155099723308033e-8,0.9999999943868754,ok,0.008557452894598154,2.431103758693867e-13,0.9998182361034711,1.0165606667917573e-8,0.9999999926205683,ok
AALR3,2024-05-10,0.00386425615407867,8.116757020289897e-5,0.0016530654661686779,13.504247275462772,0.8903970574469917,0.10860295111711946,ok,9.285465026426532e-4,0.9999992685500432,0.44688393173484603,6.328950430227195e-7,0.9999996675010878,ok,0.007284042776532559,0.009612995382058523,0.9846185800928632,5.7593127639626145,0,ok_warning: NaNs produced
AALR3,2024-05-17,0.00638754502771319,0.00386425615407867,0.0015467409394669181,13.222328375707523,0.8896700939495762,0.10932991509086043,ok,0.006069770259102794,2.457015546236171e-9,0.9937118416592255,3.4130919153291495,0,ok,0.0075333255774671475,1.2437198779753776e-10,0.9605640535312308,1.0273271334504437e-8,0.9999999997327174,ok
AALR3,2024-05-24,1.1486323475306e-4,0.00638754502771319,0.0017222296626321185,13.070141909086768,0.8895189351513607,0.10948106431232564,ok,0.007446018477783933,8.816370339612149e-10,0.9601016864506706,1.0535372526506125e-8,0.9999999944188154,ok,0.007446111231158439,3.443271635651351e-11,0.960088473243886,1.0303187026030303e-8,0.9999999868693792,ok
AALR3,2024-05-31,9.4685464905061e-4,1.1486323475306e-4,0.00246916320139896,12.686372990072744,0.8901906918102479,0.10880930732941725,ok,0.0019880120820761475,0.9999999899996537,0.3412581166265903,4.794281434271878,0,ok_warning: NaNs produced,0.0020448089275189557,0.850651852501561,0.5364171848783785,2.3786363828526715,0,ok_warning: NaNs produced
AALR3,2024-06-07,0.00673474713402773,9.4685464905061e-4,0.0029545846064267045,12.481288679521962,0.8899861072222773,0.10901388892110281,ok,0.005806390347184498,3.756762478825465e-10,0.9943264913616224,3.1823655125330603,0,ok,0.0019753366543311256,0.9999999864186067,0.43756448509409024,0.7879391209875456,0.3533703986522947,ok
