ticker_b3,n_previsoes,gamma_medio,gamma_pval_medio,pct_signif_5pct,persistencia_m1,persistencia_m2,delta_egarch_medio,delta_egarch_pval_medio,pct_signif_egarch_5pct,delta_garch_medio,delta_garch_pval_medio,pct_signif_garch_5pct,leverage_m1_medio,leverage_m2_medio,persistencia_m3,persistencia_m4,svi_zeros_pct
BDLL4,103,0.2253,0.8592,1.9417,-0.386,-0.4251,0.2253,0.8592,1.9417,0.0,1.0,0.0,0.5012,0.4854,0.991,0.9924,0.9925
BEEF3,103,-0.2263,0.1479,50.4854,0.3672,0.2119,-0.2263,0.1479,50.4854,0.0,1.0,0.0,-0.2014,-0.1173,0.9972,0.9977,0.0
BEES3,103,0.189,0.1787,17.4757,0.8744,0.801,0.189,0.1787,17.4757,1.3057,0.2866,42.7184,0.4658,0.479,0.6932,0.6358,0.097
BEES4,103,-0.69,0.1839,58.2524,1.0838,0.9149,-0.69,0.1839,58.2524,0.0105,0.756,0.0,0.1334,0.3912,0.8068,0.8204,0.709
BGIP3,103,0.0026,0.5899,4.8544,-0.3159,-0.2776,0.0026,0.5899,4.8544,0.0,1.0,0.0,0.5436,0.4666,0.9295,0.9938,0.9925
BGIP4,103,0.0101,0.0333,84.466,1.0223,0.6777,0.0101,0.0333,84.466,0.0072,0.9853,0.0,-0.0782,-0.0649,0.9755,0.981,0.959
BHIA3,103,-0.0166,0.0867,59.2233,0.503,0.4361,-0.0166,0.0867,59.2233,0.0,1.0,0.0,0.0424,0.1536,0.9863,0.9973,0.5037
BIOM3,103,0.0023,0.2815,49.5146,0.2119,0.0007,0.0023,0.2815,49.5146,0.0,1.0,0.0,-0.0116,0.0188,0.9947,0.9999,0.9254
BMEB3,103,-0.0171,0.2261,56.3107,0.8724,0.6874,-0.0171,0.2261,56.3107,0.2518,0.965,0.0,-0.0766,-0.1387,0.9819,0.9656,0.9627
BMEB4,103,-0.0061,0.1246,63.1068,1.0603,1.0678,-0.0061,0.1246,63.1068,0.1124,0.7603,22.3301,-0.0289,-0.043,0.9925,1.0133,0.6978
BMGB4,103,0.1782,0.1208,61.165,1.0194,0.9404,0.1782,0.1208,61.165,0.5495,0.8583,13.5922,0.0366,-0.1284,0.9784,0.9753,0.0
BMIN4,103,0.0028,0.2059,53.3981,1.0953,0.8762,0.0028,0.2059,53.3981,0.0006,0.9993,0.0,-0.1371,-0.2022,0.9296,0.9606,0.9701
BMKS3,103,0.0093,0.2509,8.7379,0.7763,0.7548,0.0093,0.2509,8.7379,0.1492,0.6293,0.0,0.0212,0.0114,0.9083,0.8888,0.9515
BNBR3,103,-5.5348,0.8488,14.7059,0.2298,-0.2405,-5.5348,0.8488,14.7059,0.0,1.0,0.0,0.1679,0.3322,0.9556,0.9563,0.9776
BOBR4,103,-0.0296,0.1471,46.6019,0.58,0.2986,-0.0296,0.1471,46.6019,0.0,1.0,0.0,0.176,0.3419,0.9956,0.9956,0.806
BPAC11,103,-0.3008,0.078,80.5825,0.7005,0.6017,-0.3008,0.078,80.5825,0.0,1.0,0.0,0.039,0.0564,0.9042,0.904,0.0
BPAC3,103,-0.0253,0.1178,51.4563,0.5739,0.6586,-0.0253,0.1178,51.4563,0.0,1.0,0.0,0.2319,0.217,0.9941,0.9945,0.7612
BPAC5,103,-0.3489,0.5337,9.7087,0.7958,0.6729,-0.3489,0.5337,9.7087,0.3882,0.7567,0.0,0.176,0.227,0.8877,0.7956,0.9813
BRAP3,103,0.5033,0.0408,89.3204,0.4869,-0.495,0.5033,0.0408,89.3204,0.0092,0.9118,0.0,0.1144,0.1247,0.9947,0.9929,0.1306
