semana,preco_abertura,preco_fechamento,volume_total,n_preços,rv,ret_semanal,ticker_yf,ticker_b3,svi_zeros_pct,svi,svi_diff,svi_log_dev,svi_exp_dev
2021-04-02,8.819999694824219,8.850000381469727,2292800.0,4,0.0007531215788706,-0.0045095860210339,AALR3.SA,AALR3,61.5672,21,-7.0,0.07061756721395351,1.0731707317073171
2021-04-09,9.0,9.229999542236328,2782500.0,5,0.0010919086375565,0.0420414967958011,AALR3.SA,AALR3,61.5672,19,-2.0,-0.11778303565638337,0.888888888888889
2021-04-16,9.300000190734863,9.260000228881836,2584300.0,5,0.000316599224225,0.0032450744557865,AALR3.SA,AALR3,61.5672,22,3.0,0.02197890671877545,1.0222222222222224
2021-04-23,9.369999885559082,9.260000228881836,2750200.0,4,0.000730864760512,2.255140518769849e-17,AALR3.SA,AALR3,61.5672,23,1.0,0.04255961441879608,1.0434782608695654
2021-04-30,9.300000190734863,8.84000015258789,2492300.0,5,0.0009780466579604,-0.0464171794647231,AALR3.SA,AALR3,61.5672,18,-5.0,-0.1910552367627094,0.826086956521739
2021-05-07,8.84000015258789,8.930000305175781,2261900.0,5,0.0011986301345032,0.0101295351520008,AALR3.SA,AALR3,61.5672,18,0.0,-0.16907633004393396,0.8444444444444444
2021-05-14,9.029999732971191,9.979999542236328,5739800.0,5,0.0160590364497926,0.1111666153926415,AALR3.SA,AALR3,61.5672,34,16.0,0.4418327522790393,1.5555555555555556
2021-05-21,9.949999809265137,11.1899995803833,9563100.0,5,0.0080352954686311,0.1144374403693067,AALR3.SA,AALR3,61.5672,57,23.0,0.9469277013360449,2.5777777777777775
2021-05-28,10.550000190734863,11.43000030517578,11913000.0,5,0.0166921701198454,0.0212210196816875,AALR3.SA,AALR3,61.5672,53,-4.0,0.8754687373539003,2.400000000000001
2021-06-04,12.270000457763672,12.539999961853027,10488500.0,4,0.0069039628450839,0.0926820276564887,AALR3.SA,AALR3,61.5672,48,-5.0,0.734819876960513,2.0851063829787226
2021-06-11,11.880000114440918,10.739999771118164,8293700.0,5,0.0066026374054935,-0.1549484643931909,AALR3.SA,AALR3,61.5672,37,-11.0,0.25319589638061135,1.2881355932203387
2021-06-18,10.630000114440918,11.18000030517578,6488600.0,5,0.0028477252092035,0.0401514272539738,AALR3.SA,AALR3,61.5672,33,-4.0,-0.07095173597228444,0.9315068493150684
2021-06-25,11.329999923706056,11.300000190734863,5874300.0,5,0.0033674571884553,0.0106762475739519,AALR3.SA,AALR3,61.5672,33,0.0,-0.07095173597228444,0.9315068493150684
2021-07-02,11.399999618530272,11.960000038146973,11841400.0,5,0.0069466999034913,0.0567650091145458,AALR3.SA,AALR3,61.5672,40,7.0,0.11625980611586195,1.1232876712328768
2021-07-09,11.779999732971191,11.050000190734863,2548400.0,4,0.0024645839305584,-0.0791373064871967,AALR3.SA,AALR3,61.5672,16,-24.0,-0.8430873278508599,0.4303797468354431
2021-07-16,11.15999984741211,10.630000114440918,3295700.0,5,0.002281293999061,-0.0387502421051351,AALR3.SA,AALR3,61.5672,19,3.0,-0.6805683983530852,0.5063291139240506
2021-07-23,10.5,9.970000267028809,3703400.0,5,0.0013417644321128,-0.0640995923627228,AALR3.SA,AALR3,61.5672,16,-3.0,-0.7503055943998937,0.4722222222222223
2021-07-30,10.0,10.140000343322754,2437300.0,5,0.0015101228946424,0.0169074212643189,AALR3.SA,AALR3,61.5672,21,5.0,-0.4353180712578455,0.6470588235294118
2021-08-06,10.34000015258789,10.010000228881836,2377700.0,5,0.0011144799181472,-0.0129034158288491,AALR3.SA,AALR3,61.5672,12,-9.0,-0.7672551527136671,0.46428571428571436
2021-08-13,10.109999656677246,9.4399995803833,3250600.0,5,0.0080578120339877,-0.0586286804859603,AALR3.SA,AALR3,61.5672,21,9.0,0.04652001563489305,1.047619047619048
2021-08-20,11.31999969482422,14.5,23159200.0,5,0.0524331285211402,0.4291927137200418,AALR3.SA,AALR3,61.5672,100,79.0,1.5705980791178367,4.80952380952381
2021-08-27,14.6899995803833,14.8100004196167,7488800.0,5,0.0030161139871353,0.0211540071865138,AALR3.SA,AALR3,61.5672,43,-57.0,0.739667196194838,2.095238095238095
2021-09-03,15.25,11.5,11298100.0,5,0.0395974059278615,-0.2529556212438382,AALR3.SA,AALR3,61.5672,61,18.0,1.0826119473216687,2.9523809523809526
2021-09-10,11.699999809265137,13.18000030517578,5648600.0,4,0.0198046602776443,0.1363535168596163,AALR3.SA,AALR3,61.5672,20,-41.0,-0.04652001563489305,0.9545454545454544
2021-09-17,12.550000190734863,12.100000381469728,4614400.0,5,0.0032771988012136,-0.0854950680997021,AALR3.SA,AALR3,61.5672,25,5.0,0.16705408466316607,1.1818181818181817
2021-09-24,11.550000190734863,11.670000076293944,1973700.0,5,0.0036383763986836,-0.0361840312930409,AALR3.SA,AALR3,61.5672,15,-10.0,-0.4054651081081646,0.6666666666666665
2021-10-01,11.920000076293944,12.40999984741211,3525400.0,5,0.0071867549160276,0.0614811340848787,AALR3.SA,AALR3,61.5672,12,-3.0,-0.613104472886409,0.5416666666666666
2021-10-08,11.6899995803833,12.779999732971191,3350400.0,5,0.0058863180216942,0.0293788411341591,AALR3.SA,AALR3,61.5672,13,1.0,-0.5389965007326873,0.5833333333333331
2021-10-15,12.609999656677246,12.800000190734863,3284000.0,4,0.0008829540994857,0.0015637577716169,AALR3.SA,AALR3,61.5672,13,0.0,-0.5179430915348551,0.5957446808510636
2021-10-22,12.850000381469728,14.449999809265137,10267100.0,5,0.0120431750138502,0.121249215532064,AALR3.SA,AALR3,61.5672,22,9.0,0.21772348384487072,1.2432432432432434
