ticker_b3,semana,rv,rv_pred_m0,rv_pred_m1,omega,alpha,beta,leverage_m1,status_m1,rv_pred_m2,alpha_m2,beta_m2,leverage_m2,gamma,gamma_pval,status_m2,rv_pred_m3,omega_m3,alpha_m3,beta_m3,status_m3,rv_pred_m4,alpha_m4,beta_m4,delta_m4,delta_pval_m4,status_m4
AALR3,2024-04-05,3.081583606513e-4,0.0022955852184833,0.00903845969362236,0.9228339346286657,-0.4270281091863689,0.7993328543526426,1.2499692799226167,ok,0.008618493018386221,-0.4466342714475897,0.6967764299310567,1.4816101208597048,-0.10330631541177573,0.038215453931002674,ok,0.007066590959601264,15.11466049824119,0.8875228834526593,0.11147709231960229,ok,0.009017014749694217,1.2195883022143615e-9,0.999999551096422,1.0861574871140034e-8,0.9999999653865295,ok
AALR3,2024-04-12,0.0024951590621095,3.081583606513e-4,0.003848686310972633,0.9285891498268767,-0.4270624562374405,0.7968805636595074,1.2458270498818576,ok,0.00326594834654444,-0.4493539964007521,0.6942030931922093,1.4798193408756113,-0.10435002748446975,0.03441978013585101,ok,0.008821368233887551,0.12489851920228819,1.181211266252817e-13,0.9989493927845692,ok,0.008893147215473168,6.513044164424449e-11,0.9999993515794449,1.0539230469611467e-8,0.9999999889162847,ok
AALR3,2024-04-19,0.0254690262679544,0.0024951590621095,0.0033377638124318727,0.9042234730274626,-0.42240744970584015,0.8019200184343688,1.221669823277026,ok,0.003440622055409159,-0.44879695247864426,0.6948435590066933,1.4680169670992544,-0.10458802717019794,0.03620237345275412,ok,0.002676599350939785,15.08652240229894,0.8882844404983385,0.11071556855590242,ok,0.008802490073059924,3.956397404687125e-10,0.9999990206562788,1.0582875333425953e-8,0.9999999756042341,ok
AALR3,2024-04-26,0.0016163319025785,0.0254690262679544,0.0021964044875749373,0.8896345167114821,-0.42058177350822057,0.8033537227738384,1.205822251161915,ok,0.0022742067989266874,-0.44787274969146956,0.7018647421143039,1.439097292424511,-0.1006151224275498,0.05198373493227404,ok,0.0018128274359640515,14.703715655396476,0.8881709364503133,0.11082906044388009,ok,0.008683323761214718,1.380506920146491e-9,0.9999991765942324,1.0789338799490356e-8,0.9999999678168607,ok
AALR3,2024-05-03,8.116757020289897e-5,0.0016163319025785,0.0015308638922683882,0.9063200382208105,-0.4189038677087641,0.7967892170694371,1.2108434440093698,ok,0.0016590542774377606,-0.44375385999002903,0.6980548225482647,1.438627520552693,-0.09967749739916792,0.050814081161427715,ok,0.0016182956451191621,14.169632252139227,0.8864712460382529,0.11252875325925066,ok,0.008553248002220947,3.5969767401627145e-16,0.9997951931331142,1.0533980813204698e-8,0.9999999758121301,ok
AALR3,2024-05-10,0.0038642561540786,8.116757020289897e-5,8.935711225718629e-4,0.9275772546546278,-0.4250184683642116,0.7886312678740652,1.2207743187730693,ok,0.005942971355017481,-9.382054149837149e-4,0.9999819957937398,-0.2479664494995142,0.021649178823038427,0,ok,0.0016530525297959752,13.504153791370308,0.8903976103981828,0.10860239802866073,ok,9.190200931469633e-4,0.999999963539315,0.44990911314152027,1.5216869029105553,0.0882860383651154,ok
AALR3,2024-05-17,0.0063875450277131,0.0038642561540786,6.939745639603392e-4,0.9303106144591097,-0.42811793050912944,0.786085966450622,1.2179864597716539,ok,8.184719283568079e-4,-0.44294703469443314,0.6877241225961604,1.4544714488246269,-0.0985789061963316,0.04504852943570459,ok,0.0015467337977449669,13.222248848584593,0.8896696723762243,0.10933033668466555,ok,0.008019284215685294,8.29827597217719e-18,0.9937114722640853,1.0727511526710962e-8,0.9999999633820333,ok
AALR3,2024-05-24,1.14863234753e-4,0.0063875450277131,4.406327874023096e-4,0.9260137607221754,-0.43134424220070644,0.7856142245833386,1.2142615926090754,ok,5.270085037454045e-4,-0.4417938354831601,0.690035288917056,1.4539615380868356,-0.09608911084918402,0.05175202508580545,ok,0.0017222182322090805,13.070041039350311,0.8895183077993757,0.10948169166416813,ok,0.007446139347421942,6.931528770050267e-8,0.9600812304908898,5.319254507707085e-8,0.9999999434537676,ok
AALR3,2024-05-31,9.468546490506e-4,1.14863234753e-4,0.0011199097924010591,0.8764745329101428,-0.4517078526440805,0.7956340219787968,1.1704670866416682,ok,0.0015011146913861315,-0.4649755264678254,0.7173743004069644,1.3585323177678406,-0.08451178546289363,0.1121330858368792,ok,0.0024691167847589205,12.685808890401368,0.8901889772714384,0.10881102186836693,ok,0.0011011766840308137,0.9999999864874662,0.4432297172674716,1.5496461288161745,0.07033963669041898,ok
AALR3,2024-06-07,0.0067347471340277,9.468546490506e-4,0.0019515768955579937,0.8630561147144705,-0.4664075020838202,0.7963073366486041,1.1501682322752806,ok,0.0024604255199048406,-0.4799524753066108,0.7143289556804685,1.3281768221492047,-0.08644546175045764,0.1005779811985883,ok,0.0029546112999187185,12.481526644656542,0.8899872858656177,0.10901268326453634,ok,0.0017335111819237717,0.9999999580283462,0.4429439167949763,1.5506694390455498,0.06833852687688347,ok
AALR3,2024-06-14,0.0020265699073099,0.0067347471340277,0.0026437749504258624,0.8939110857781315,-0.4705222638232598,0.7934502514497626,1.1801034116370956,ok,0.003380303778919153,-0.4895727925939977,0.7069112335850041,1.3750202363351758,-0.09297295460712637,0.06267817511906815,ok,0.003611665267317273,13.052803801697705,0.8902646152344007,0.10873538212368455,ok,0.0030771425622054768,0.02193740954219075,0.9109779896403974,1.5102783534329844,0.0014807424039442463,ok
