modelo,n_janelas,delta_medio,delta_mediano,pval_medio,pval_mediano,pct_janelas_signif_5pct,pct_janelas_signif_10pct
"GARCH-X (simetrico, M4)",29728,0.7614636964605889,9.979253539764462e-9,0.9547143259670928,0.9999999932562796,1.7391011840688912,2.1797631862217437
"eGARCH-X (assimetrico, M2)",29607,-0.2541118203876144,-0.020022328440753648,0.26049758371579856,0.11396945321222374,41.50369844969095,48.4513797412774
