ticker,status,semanas,svi_media,svi_std,svi_zeros_pct
ABCB4,ok,268,31.04,11.95,0.0
USIM3,ok,268,38.25,19.55,7.8358
MTRE3,ok,268,29.1,17.59,5.2239
SEQL3,ok,268,8.97,9.37,2.2388
WIZC3,ok,268,24.13,22.36,39.1791
PINE4,ok,268,32.82,20.07,5.9701
TFCO4,ok,268,6.85,21.7,90.6716
OIBR3,ok,268,21.28,17.12,0.0
SYNE3,ok,268,7.16,8.57,15.6716
IRBR3,ok,268,25.04,17.11,0.0
LUPA3,ok,268,7.96,9.01,9.3284
VLID3,ok,268,33.96,23.89,21.2687
TRIS3,ok,268,34.51,17.82,2.2388
SHUL4,ok,268,26.56,13.24,2.2388
AGRO3,ok,268,22.92,11.3,0.0
HBRE3,ok,268,10.34,20.39,76.8657
UNIP6,ok,268,32.04,14.43,0.0
TASA4,ok,268,30.85,12.82,0.0
FRAS3,ok,268,37.69,24.65,21.6418
LOGG3,ok,268,17.74,14.57,22.7612
LEVE3,ok,268,24.89,13.83,0.0
PTBL3,ok,268,20.59,14.38,3.7313
DEXP3,ok,268,21.18,14.61,19.7761
TAEE4,ok,268,39.63,13.56,0.0
ENJU3,ok,268,20.12,15.9,7.4627
LPSB3,ok,268,15.7,20.28,52.9851
ITSA3,ok,268,40.16,12.12,0.0
MEAL3,ok,268,25.06,19.32,4.4776
CMIG3,ok,268,26.15,13.19,2.2388
AMAR3,ok,268,23.81,18.06,4.1045
RCSL3,ok,268,22.45,18.71,31.7164
SANB4,ok,268,29.69,16.31,1.1194
ALPK3,ok,268,12.05,18.59,63.4328
AERI3,ok,268,18.28,15.04,1.8657
RAPT3,ok,268,8.35,21.71,86.5672
TAEE3,ok,268,43.12,14.67,0.0
SANB3,ok,268,28.97,17.54,0.7463
BRAP3,ok,268,29.37,17.1,13.0597
SAPR3,ok,268,43.29,14.84,0.0
ETER3,ok,268,24.99,19.65,1.8657
SHOW3,ok,268,12.49,12.92,30.9701
TPIS3,ok,268,10.65,14.96,36.5672
GOAU3,ok,268,28.9,18.66,17.5373
RNEW4,ok,268,12.94,14.57,44.7761
VIVR3,ok,268,5.72,8.96,6.7164
BIOM3,ok,268,3.52,13.47,92.5373
PTNT4,ok,268,2.17,13.39,97.3881
AALR3,ok,268,7.04,12.41,61.5672
PDGR3,ok,268,21.26,16.76,1.1194
BOBR4,ok,268,5.49,12.99,80.597
GGBR3,ok,268,33.49,17.13,8.209
TCSA3,ok,268,12.01,12.6,32.0896
RNEW3,ok,268,7.65,12.83,66.4179
CSUD3,ok,268,17.84,20.19,50.7463
UCAS3,ok,268,8.74,22.01,85.4478
BRKM3,ok,268,7.59,12.58,62.6866
EUCA4,ok,268,6.61,12.88,74.6269
DMVF3,ok,268,15.45,18.84,50.0
BPAC5,ok,268,1.14,8.82,98.1343
CAMB3,ok,268,10.62,18.57,72.7612
BMEB4,ok,268,10.21,17.44,69.7761
RSID3,ok,268,4.37,12.33,86.5672
INEP3,ok,268,15.87,16.79,35.0746
MNPR3,ok,268,3.31,15.15,95.1493
NGRD3,ok,268,9.56,12.21,7.4627
TECN3,ok,268,15.28,16.62,23.8806
FICT3,ok,268,1.75,8.09,93.2836
SCAR3,ok,268,1.63,7.44,88.4328
